date,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
1970-01-01 00:00:00.000000011,2022-06-30,USD,76180000000,76180000000,66919000000,66919000000,11437000000,1498000000,None,64743000000,None,-1087000000,2861000000,1087000000,None,-66688000000,None,2710000000,-55482000000,-12106000000,None,-43376000000,None,-54774000000,-52064000000,-43755000000
1970-01-01 00:00:00.000000012,2022-03-31,USD,70810000000,70810000000,1978000000,1978000000,8790000000,1232000000,None,62020000000,None,-1034000000,1862000000,1034000000,None,-1602000000,None,2703000000,6812000000,1227000000,None,5585000000,None,7721000000,10424000000,5460000000
1970-01-01 00:00:00.000000013,2021-12-31,USD,33783000000,33783000000,-128173000000,-128173000000,-29589000000,1221000000,None,63372000000,None,-990000000,1921000000,990000000,None,40747000000,None,2705000000,48953000000,9055000000,None,39898000000,None,49691000000,52396000000,39646000000
1970-01-01 00:00:00.000000014,2021-09-30,USD,75504000000,75504000000,33597000000,33597000000,12484000000,1116000000,None,63020000000,None,-1056000000,5298000000,1056000000,None,5298000000,None,2668000000,12484000000,1840000000,None,10644000000,None,13240000000,15908000000,10344000000
1970-01-01 00:00:00.000000015,2021-06-30,USD,96508000000,96508000000,32963000000,32963000000,35721000000,982000000,None,60787000000,None,-1076000000,1898000000,1076000000,None,27541000000,None,2672000000,35721000000,7296000000,None,28425000000,None,36466000000,39138000000,28094000000
1970-01-01 00:00:00.000000016,2021-03-31,USD,70299000000,70299000000,26530000000,26530000000,14528000000,882000000,None,55771000000,None,-1050000000,1851000000,1050000000,None,5951000000,None,2673000000,14528000000,2688000000,None,11840000000,None,15449000000,18122000000,11711000000
1970-01-01 00:00:00.000000017,2020-12-31,USD,62989000000,62989000000,-81430000000,-81430000000,4657000000,915000000,None,58332000000,None,-1057000000,1949000000,1057000000,None,None,None,2904000000,45403000000,9273000000,None,36130000000,None,46165000000,49069000000,35835000000
1970-01-01 00:00:00.000000018,2020-09-30,USD,94606000000,94606000000,29912000000,29912000000,37930000000,854000000,None,56676000000,None,-1000000000,1717000000,1000000000,None,None,None,2583000000,37930000000,7517000000,None,30413000000,None,38654000000,41237000000,30137000000
1970-01-01 00:00:00.000000019,2020-06-30,USD,96925000000,96925000000,55584000000,55584000000,35409000000,749000000,None,61516000000,None,-1002000000,2150000000,1002000000,None,-257000000,None,2524000000,35409000000,9002000000,None,26407000000,None,36299000000,38823000000,26295000000
1970-01-01 00:00:00.000000020,2020-03-31,USD,61265000000,61265000000,29116000000,29116000000,7226000000,1002000000,None,54039000000,None,-1024000000,2276000000,1024000000,None,300000000,None,2585000000,-63049000000,-13352000000,None,-49697000000,None,-62074000000,-59489000000,-49746000000
1970-01-01 00:00:00.000000021,2019-12-31,USD,24072000000,24072000000,-123503000000,-123503000000,-35806000000,973000000,None,59878000000,None,-993000000,2345000000,993000000,None,31551000000,None,2657000000,36801000000,7571000000,None,29230000000,None,37723000000,40380000000,29159000000
1970-01-01 00:00:00.000000022,2019-09-30,USD,75898000000,75898000000,26950000000,26950000000,20489000000,1010000000,None,55409000000,None,-985000000,2483000000,985000000,None,11570000000,None,2534000000,20489000000,3832000000,None,16657000000,None,21341000000,23875000000,16524000000
1970-01-01 00:00:00.000000023,2019-06-30,USD,73646000000,73646000000,27047000000,27047000000,17759000000,1000000000,None,55887000000,None,-992000000,2295000000,992000000,None,10172000000,None,2456000000,17759000000,3586000000,None,14173000000,None,18651000000,21107000000,14073000000
1970-01-01 00:00:00.000000024,2019-03-31,USD,81000000000,81000000000,25767000000,25767000000,27647000000,1020000000,None,53353000000,None,-991000000,2117000000,991000000,None,20490000000,None,2417000000,27647000000,5915000000,None,21732000000,None,28567000000,30984000000,21661000000
1970-01-01 00:00:00.000000025,2018-12-31,USD,50661000000,50661000000,-91093000000,-91093000000,-10266000000,4061000000,0,60927000000,None,None,None,1244000000,None,-38719000000,None,2610000000,-32721000000,-7330000000,None,-25391000000,None,-31478000000,-28868000000,-25392000000
1970-01-01 00:00:00.000000026,2018-09-30,USD,78156000000,78156000000,1273000000,1273000000,23147000000,564000000,0,55009000000,None,None,None,896000000,None,15022000000,None,2395000000,23147000000,4440000000,None,18707000000,None,23876000000,26271000000,18540000000
1970-01-01 00:00:00.000000027,2018-06-30,USD,68562000000,68562000000,35660000000,35660000000,15098000000,4150000000,0,53464000000,None,None,None,521000000,None,6689000000,None,2387000000,15098000000,3021000000,None,12077000000,None,15553000000,17940000000,12011000000
1970-01-01 00:00:00.000000028,2018-03-31,USD,50458000000,50458000000,25415000000,25415000000,-1523000000,4024000000,0,51981000000,None,None,None,1192000000,None,-7614000000,None,2387000000,-1523000000,-452000000,None,-1071000000,None,-398000000,1989000000,-1138000000
1970-01-01 00:00:00.000000029,2017-12-31,USD,58907000000,58907000000,-81482000000,-81482000000,6391000000,4140000000,0,52516000000,None,None,None,1594000000,None,None,None,2353000000,6391000000,-26265000000,None,45721000000,None,7880000000,10233000000,32551000000
1970-01-01 00:00:00.000000030,2017-09-30,USD,60525000000,60525000000,25815000000,25815000000,5630000000,3965000000,0,54895000000,None,None,None,1233000000,None,252000000,None,2296000000,5630000000,1427000000,None,4203000000,None,6727000000,9023000000,4067000000
1970-01-01 00:00:00.000000031,2017-06-30,USD,57518000000,57518000000,48912000000,48912000000,6129000000,7694000000,0,51389000000,None,None,None,1500000000,None,309000000,None,2296000000,6129000000,1774000000,None,4355000000,None,7536000000,9832000000,4262000000
1970-01-01 00:00:00.000000032,2017-03-31,USD,65187000000,65187000000,867000000,867000000,5688000000,442000000,0,59499000000,None,None,None,1067000000,None,239000000,None,2243000000,5688000000,1549000000,None,4139000000,None,6676000000,8919000000,4060000000
1970-01-01 00:00:00.000000033,2016-12-31,USD,57673000000,57673000000,-70177000000,-70177000000,9314000000,438000000,None,48359000000,None,None,None,554000000,None,None,None,2296000000,9314000000,2959000000,None,6355000000,None,9799000000,12095000000,6286000000
1970-01-01 00:00:00.000000034,2016-09-30,USD,59068000000,59068000000,886000000,886000000,10525000000,465000000,None,48543000000,None,None,None,1043000000,None,None,None,2246000000,10525000000,3192000000,None,7333000000,None,11433000000,13679000000,7198000000
1970-01-01 00:00:00.000000035,2016-06-30,USD,54460000000,54460000000,31563000000,31563000000,7372000000,4066000000,None,47088000000,None,None,None,727000000,None,None,None,2234000000,7372000000,2290000000,None,5082000000,None,8018000000,10252000000,5001000000
1970-01-01 00:00:00.000000036,2016-03-31,USD,52403000000,52403000000,22796000000,22796000000,6456000000,3722000000,None,45947000000,None,None,None,1173000000,None,None,None,2125000000,6456000000,799000000,None,5657000000,None,7561000000,9686000000,5589000000
1970-01-01 00:00:00.000000037,2015-12-31,USD,51820000000,51820000000,117594000000,117594000000,7381000000,3546000000,None,44439000000,None,None,None,808000000,None,None,None,1978000000,7381000000,1834000000,None,None,None,8120000000,10098000000,5478000000
1970-01-01 00:00:00.000000038,2015-09-30,USD,58989000000,58989000000,22297000000,22297000000,14072000000,3721000000,None,44917000000,None,None,None,865000000,None,None,None,1989000000,14072000000,4545000000,None,9527000000,None,14838000000,16827000000,9428000000
1970-01-01 00:00:00.000000039,2015-06-30,USD,51368000000,51368000000,42189000000,42189000000,5846000000,6091000000,None,45522000000,None,None,None,967000000,None,None,None,1941000000,5846000000,1739000000,None,4107000000,None,6719000000,8660000000,4013000000
1970-01-01 00:00:00.000000040,2015-03-31,USD,48644000000,48644000000,659000000,659000000,7647000000,365000000,None,40997000000,None,None,None,875000000,None,None,None,1871000000,7647000000,2414000000,None,5233000000,None,8453000000,10324000000,5164000000
1970-01-01 00:00:00.000000041,2014-12-31,USD,48259000000,48259000000,111009000000,111009000000,5841000000,379000000,None,42418000000,None,None,None,830000000,None,None,None,1934000000,5841000000,1623000000,None,None,None,6608000000,8542000000,4155000000
1970-01-01 00:00:00.000000042,2014-09-30,USD,51199000000,51199000000,762000000,762000000,6750000000,344000000,None,44449000000,None,None,None,817000000,None,None,None,1854000000,6750000000,2029000000,None,4721000000,None,7463000000,9317000000,4617000000
1970-01-01 00:00:00.000000043,2014-06-30,USD,49762000000,49762000000,692000000,692000000,8916000000,423000000,None,40846000000,None,None,None,824000000,None,None,None,1810000000,8916000000,2458000000,None,6458000000,None,9677000000,11487000000,6395000000
1970-01-01 00:00:00.000000044,2014-03-31,USD,45453000000,45453000000,589000000,589000000,6598000000,377000000,None,38855000000,None,None,None,782000000,None,None,None,1772000000,6598000000,1825000000,None,4773000000,None,7312000000,9084000000,4705000000
1970-01-01 00:00:00.000000045,2013-12-31,USD,47049000000,47049000000,102210000000,102210000000,7232000000,3228000000,None,39817000000,None,None,None,718000000,None,None,None,2472000000,7232000000,2169000000,None,None,None,7877000000,10349000000,4990000000
1970-01-01 00:00:00.000000046,2013-09-30,USD,46541000000,46541000000,19399000000,19399000000,7378000000,2909000000,None,39163000000,None,None,None,706000000,None,None,None,1354000000,7378000000,2225000000,None,5153000000,None,7984000000,9338000000,5053000000
1970-01-01 00:00:00.000000047,2013-06-30,USD,44693000000,44693000000,19373000000,19373000000,6891000000,2926000000,None,37802000000,None,None,None,691000000,None,None,None,1345000000,6891000000,2279000000,None,4612000000,None,7511000000,8856000000,4541000000
1970-01-01 00:00:00.000000048,2013-03-31,USD,43867000000,43867000000,18284000000,18284000000,7295000000,2854000000,None,36572000000,None,None,None,686000000,None,None,None,1337000000,7295000000,2278000000,None,None,None,7856000000,9193000000,4892000000
1970-01-01 00:00:00.000000049,2012-12-31,USD,44720000000,44720000000,75222000000,75222000000,6754000000,3026000000,None,37966000000,None,None,None,665000000,None,None,None,1332000000,6754000000,2093000000,None,None,None,7309000000,8641000000,4551000000
1970-01-01 00:00:00.000000050,2012-09-30,USD,884000000,41168000000,40284000000,40284000000,5936000000,2573000000,None,-5052000000,None,None,None,692000000,None,None,None,1296000000,5936000000,1882000000,None,None,None,6628000000,7924000000,3920000000
1970-01-01 00:00:00.000000051,2012-06-30,USD,35000000,39614000000,39579000000,39579000000,4615000000,2476000000,None,-4580000000,None,None,None,696000000,None,None,None,1265000000,4615000000,1384000000,None,None,None,5311000000,6576000000,3108000000
1970-01-01 00:00:00.000000052,2012-03-31,USD,89000000,37144000000,37055000000,37055000000,4931000000,2428000000,None,-4842000000,None,None,None,691000000,None,None,None,1253000000,4931000000,1565000000,None,None,None,5622000000,6875000000,3245000000
1970-01-01 00:00:00.000000053,2011-12-31,USD,214000000,38271000000,38057000000,38057000000,4452000000,2408000000,None,-4238000000,None,None,None,675000000,None,None,None,1265000000,4452000000,1261000000,None,None,None,5127000000,6392000000,3048000000
1970-01-01 00:00:00.000000054,2011-09-30,USD,760000000,36190000000,35430000000,35430000000,3363000000,2105000000,None,-2603000000,None,None,None,669000000,None,None,None,1142000000,3363000000,953000000,None,None,None,4032000000,5174000000,2278000000
1970-01-01 00:00:00.000000055,2011-06-30,USD,1149000000,38297000000,37148000000,37148000000,5265000000,4157000000,None,-4116000000,None,None,None,662000000,None,None,None,1141000000,5265000000,1725000000,None,None,None,5927000000,7068000000,3417000000
1970-01-01 00:00:00.000000056,2011-03-31,USD,-809000000,33942000000,34751000000,34751000000,2234000000,2035000000,None,-3043000000,None,None,None,658000000,None,None,None,1135000000,2234000000,629000000,None,None,None,2892000000,4027000000,1511000000
