,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
57,2019-06-30,AAPL,11544000000,12777000000,11911000000,1867000000,10044000000,691000000.0,324000000.0
58,2019-09-30,AAPL,15625000000,15690000000,16127000000,2441000000,13686000000,798000000.0,296000000.0
59,2019-12-31,AAPL,25569000000,26703000000,25918000000,3682000000,22236000000,609000000.0,260000000.0
60,2020-03-31,AAPL,12853000000,13892000000,13135000000,1886000000,11249000000,574000000.0,292000000.0
61,2020-06-30,AAPL,13091000000,13834000000,13137000000,1884000000,11253000000,250000000.0,204000000.0
62,2020-09-30,AAPL,14775000000,15535000000,14901000000,2228000000,12673000000,-374000000.0,134000000.0
63,2020-12-31,AAPL,33534000000,34217000000,33579000000,4824000000,28755000000,154000000.0,109000000.0
64,2021-03-31,AAPL,27503000000,28681000000,28011000000,4381000000,23630000000,556000000.0,48000000.0
65,2021-06-30,AAPL,24126000000,25034000000,24369000000,2625000000,21744000000,297000000.0,54000000.0
66,2021-09-30,AAPL,23786000000,23920000000,23248000000,2697000000,20551000000,525000000.0,-13000000.0
67,2021-12-31,AAPL,41488000000,41935000000,41241000000,6611000000,34630000000,203000000.0,-44000000.0
68,2022-03-31,AAPL,29979000000,30830000000,30139000000,5129000000,25010000000,169000000.0,9000000.0
69,2022-06-30,AAPL,23076000000,23785000000,23066000000,3624000000,19442000000,13000000.0,3000000.0
70,2022-09-30,AAPL,24894000000,25484000000,24657000000,3936000000,20721000000,163000000.0,-74000000.0
71,2022-12-31,AAPL,36016000000,36016000000,35623000000,5625000000,29998000000,-528000000.0,-135000000.0
72,2023-03-31,AAPL,28318000000,28318000000,28382000000,4222000000,24160000000,52000000.0,-12000000.0
73,2023-06-30,AAPL,22998000000,22998000000,22733000000,2852000000,19881000000,-283000000.0,-18000000.0
74,2023-09-30,AAPL,26969000000,26969000000,26998000000,4042000000,22956000000,547000000.0,-18000000.0
75,2023-12-31,AAPL,40373000000,40373000000,40323000000,6407000000,33916000000,-1002000000.0,-1002000000.0
76,2024-03-31,AAPL,27900000000,27900000000,28058000000,4422000000,23636000000,0.0,0.0
77,2024-06-30,AAPL,25352000000,25352000000,25494000000,4046000000,21448000000,0.0,0.0
78,2024-09-30,AAPL,29591000000,29591000000,29610000000,14874000000,14736000000,0.0,0.0
79,2024-12-31,AAPL,42832000000,42832000000,42584000000,6254000000,36330000000,0.0,0.0
80,2025-03-31,AAPL,29589000000,29589000000,29310000000,4530000000,24780000000,0.0,0.0
81,2005-03-31,AMZN,108000000,108000000,108000000,56000000,52000000,-26000000.0,-26000000.0
82,2005-06-30,AMZN,104000000,104000000,108000000,56000000,52000000,-22000000.0,-22000000.0
83,2005-09-30,AMZN,55000000,55000000,51000000,21000000,30000000,-22000000.0,-22000000.0
84,2005-12-31,AMZN,165000000,165000000,161000000,-38000000,173000000,-22000000.0,-22000000.0
85,2006-03-31,AMZN,106000000,106000000,96000000,45000000,51000000,-21000000.0,-21000000.0
86,2006-06-30,AMZN,47000000,47000000,54000000,32000000,22000000,-19000000.0,-19000000.0
87,2006-09-30,AMZN,40000000,40000000,38000000,19000000,19000000,-21000000.0,-21000000.0
88,2006-12-31,AMZN,197000000,197000000,188000000,91000000,97000000,-20000000.0,-20000000.0
